"STUID","State","District","Gender","Age","Category","Same.language","Siblings","Handicap","Father.edu","Mother.edu","Father.occupation","Mother.occupation","Below.poverty","Use.calculator","Use.computer","Use.Internet","Use.dictionary","Read.other.books","X..Books","Distance","Computer.use","Library.use","Like.school","Subjects","Give.Lang.HW","Give.Math.HW","Give.Scie.HW","Give.SoSc.HW","Correct.Lang.HW","Correct.Math.HW","Correct.Scie.HW","Correct.SocS.HW","Help.in.Study","Private.tuition","English.is.difficult","Read.English","Dictionary.to.learn","Answer.English.WB","Answer.English.aloud","Maths.is.difficult","Solve.Maths","Solve.Maths.in.groups","Draw.geometry","Explain.answers","SocSci.is.difficult","Historical.excursions","Participate.in.SocSci","Small.groups.in.SocSci","Express.SocSci.views","Science.is.difficult","Observe.experiments","Conduct.experiments","Solve.science.problems","Express.science.views","Watch.TV","Read.magazine","Read.a.book","Play.games","Help.in.household","Maths..","Reading..","Science..","Social.."
26011001017,"Maharashtra",1,"Girl","15 years",3,1,"2 siblings","No","Secondary","Secondary","Farmer","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","Once or twice in a month","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Agree","Disagree","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Every day","Every day","Never","Every day","Every day",NA,6.67,NA,NA
26011001018,"Maharashtra",1,"Girl","13 years",3,2,"4+ siblings","No","Degree & above","Illiterate","Farmer","Labourer","Yes","","","","","No","No books","Up to 1 km","Once in a week","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Never","Every day","Every day",NA,0,NA,NA
26011001019,"Maharashtra",1,"Boy","15 years",3,2,"3 siblings","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","25+ books","Up to 1 km","Once in a week","Once in a week","Yes","Social Science","","","","","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","","","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Never","Every day","Every day",30.51,NA,NA,NA
26011001020,"Maharashtra",1,"Boy","13 years",3,1,"2 siblings","No","","","","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in month","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither","Disagree","Agree","Agree","Neither","Agree","Every day","Once a month","Once a month","Every day","Every day",21.05,NA,NA,NA
26011001021,"Maharashtra",1,"Boy","15 years",3,2,"3 siblings","No","Sr secondary","Illiterate","Farmer","Farmer","No","","","","","No","","Up to 1 km","Once in a week","Once or twice in a month","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Neither","Agree","Agree","Disagree","Agree","Agree","Neither","Neither","Disagree","Agree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Neither","Every day","Once a month","Once a month","Every day","Every day",NA,NA,30.91,NA
26011001022,"Maharashtra",1,"Boy","15 years",3,2,"2 siblings","No","","Illiterate","","Farmer","No","","","","","No","","Up to 1 km","Once in a week","Never use","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Agree","No","Disagree","Disagree","Agree","Neither","Agree","Agree","Neither","Neither","Disagree","Agree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Never","Every day","Every day",NA,NA,25.45,NA
26011001024,"Maharashtra",1,"Boy","13 years",4,2,"2 siblings","No","Sr secondary","Secondary","Farmer","","Yes","","","","","No","","Up to 1 km","Once in a week","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Neither","Agree","Agree","Agree","Neither","Agree","Neither","Neither","Disagree","Agree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Neither","Every day","Never","Once a month","Every day","Every day",NA,NA,NA,24.49
26011001025,"Maharashtra",1,"Boy","15 years",4,2,"4+ siblings","No","Secondary","Illiterate","Labourer","Labourer","No","","","","","No","","Up to 1 km","Once in a week","Once in a week","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Neither","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Disagree","Agree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Neither","Every day","Once a month","Once a week","Every day","Every day",NA,20,NA,NA
26011001028,"Maharashtra",1,"Girl","13 years",3,2,"3 siblings","No","Illiterate","Illiterate","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Never","Every day","Every day",19.3,NA,NA,NA
26011001032,"Maharashtra",1,"Boy","15 years",4,2,"1 sibling","No","Secondary","Illiterate","Labourer","Labourer","","","","","","No","","1-3 km","Once in a week","Never use","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Disagree","Agree","Agree","Disagree","Agree","Neither","Neither","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Neither","Every day","Never","Once a month","Every day","Every day",NA,NA,NA,26.53
26011002001,"Maharashtra",1,"Girl","14 years",4,2,"2 siblings","No","Sr secondary","Secondary","Skilled Worker","Labourer","Yes","","","","","No","No books","Up to 1 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","yes","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Never","Once a week","Every day",NA,33.33,NA,NA
26011002002,"Maharashtra",1,"Girl","13 years",1,1,"3 siblings","No","Primary","Illiterate","Labourer","Labourer","Yes","","","","","Yes","1-10 books","3-5 km","Daily","Once or twice in a month","Yes","Mathematics","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Neither","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Once a week","Once a week","Every day","Every day",NA,48.28,NA,NA
26011002003,"Maharashtra",1,"Girl","13 years",3,2,"2 siblings","No","Primary","Secondary","Labourer","Labourer","Yes","","","","","No","No books","Up to 1 km","Daily","Once in a week","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",23.73,NA,NA,NA
26011002004,"Maharashtra",1,"Girl","13 years",3,2,"3 siblings","No","Secondary","Secondary","Labourer","Labourer","No","","","","","No","","Up to 1 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",26.32,NA,NA,NA
26011002005,"Maharashtra",1,"Girl","12 years",2,2,"3 siblings","No","Secondary","Illiterate","Labourer","Labourer","Yes","","","","","Yes","","3-5 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",NA,NA,27.27,NA
26011002006,"Maharashtra",1,"Girl","13 years",2,2,"1 sibling","No","Illiterate","Primary","Unemployed","Labourer","No","","","","","No","","3-5 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Every day","Once a week","Every day",NA,NA,30.91,NA
26011002007,"Maharashtra",1,"Girl","14 years",3,2,"2 siblings","No","Primary","Primary","Labourer","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",NA,NA,NA,32.65
26011002008,"Maharashtra",1,"Girl","13 years",3,2,"1 sibling","No","Secondary","Illiterate","Labourer","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",NA,NA,NA,28.57
26011002009,"Maharashtra",1,"Girl","13 years",4,2,"2 siblings","No","Sr secondary","Secondary","Labourer","Unemployed","No","","","","","Yes","1-10 books","Up to 1 km","Daily","Once or twice in a month","Yes","Science","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Once a week","Once a week","Every day","Every day",NA,86.67,NA,NA
26011002010,"Maharashtra",1,"Girl","14 years",2,2,"3 siblings","No","Primary","Primary","Labourer","Unemployed","No","","","","","No","No books","3-5 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","","Agree","Agree","Disagree","Agree","","Every day","Once a week","Never","Every day","Every day",NA,31.03,NA,NA
26011002011,"Maharashtra",1,"Girl","14 years",4,1,"1 sibling","No","Primary","","Farmer","Labourer","Yes","","","","","Yes","1-10 books","More than 5 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",22.03,NA,NA,NA
26011002012,"Maharashtra",1,"Girl","13 years",4,2,"3 siblings","No","Secondary","Secondary","Farmer","Labourer","No","","","","","Yes","1-10 books","More than 5 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Never",26.32,NA,NA,NA
26011002013,"Maharashtra",1,"Girl","13 years",2,2,"2 siblings","No","Primary","Primary","Farmer","Farmer","No","","","","","No","No books","3-5 km","Daily","Once or twice in a month","Yes","Language","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Once a month","Never","Once a week","Every day",NA,NA,27.27,NA
26011002014,"Maharashtra",1,"Girl","14 years",2,2,"2 siblings","No","Secondary","Illiterate","Labourer","Unemployed","No","","","","","No","No books","3-5 km","Daily","Never use","Yes","Science","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","yes","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Every day","Once a month","Every day","Every day",NA,NA,32.73,NA
26011002015,"Maharashtra",1,"Boy","14 years",3,2,"2 siblings","No","Secondary","Primary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Daily","Once or twice in a month","Yes","Mathematics","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Once a month","Never","Every day","Every day","Every day",NA,NA,NA,16.33
26011002016,"Maharashtra",1,"Boy","13 years",4,2,"2 siblings","No","Illiterate","Illiterate","Farmer","Farmer","No","No","No","No","Yes","Yes","","Up to 1 km","Daily","Once or twice in a month","Yes","Science","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Agree","Once a month","Never","Once a week","Every day","Every day",NA,NA,NA,38.78
26011002017,"Maharashtra",1,"Boy","13 years",1,2,"2 siblings","No","","Secondary","","Unemployed","Yes","","","","","Yes","1-10 books","Up to 1 km","Daily","More than once in a week","Yes","Science","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Once a month","Every day","Once a week","Every day","Every day",NA,46.67,NA,NA
26011002018,"Maharashtra",1,"Boy","14 years",3,2,"1 sibling","No","Primary","Primary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Daily","Once in a week","Yes","Science","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Once a week","Every day","Every day","Every day",NA,34.48,NA,NA
26011002019,"Maharashtra",1,"Boy","13 years",4,1,"1 sibling","No","Illiterate","Illiterate","Farmer","Farmer","Yes","","","","","Yes","","3-5 km","Daily","Once in a week","Yes","Mathematics","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Neither","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Every day","Once a month","Once a week","Every day","Every day",28.81,NA,NA,NA
26011002020,"Maharashtra",1,"Boy","13 years",1,2,"3 siblings","No","Illiterate","Secondary","Business","Unemployed","Yes","","","","","No","No books","3-5 km","Daily","Once in a week","Yes","Science","1-2 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Once a week","Once a week","Every day","Every day",22.81,NA,NA,NA
26011002021,"Maharashtra",1,"Boy","14 years",1,1,"2 siblings","No","Illiterate","Illiterate","Business","Labourer","Yes","","","","","No","No books","Up to 1 km","Daily","Once or twice in a month","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",NA,NA,30.91,NA
26011002022,"Maharashtra",1,"Boy","13 years",3,2,"2 siblings","No","Illiterate","Illiterate","Labourer","Labourer","Yes","","","","","No","No books","Up to 1 km","Daily","Once or twice in a month","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a week","Every day","Every day",NA,NA,18.18,NA
26011002023,"Maharashtra",1,"Boy","14 years",3,2,"2 siblings","No","Primary","Secondary","Business","","No","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Daily","Once in a week","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Once a week","Every day","Once a week","Once a week","Once a week",NA,NA,NA,36.73
26011002024,"Maharashtra",1,"Boy","14 years",1,2,"2 siblings","No","Illiterate","Illiterate","","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Daily","Once in a week","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Once a month","Every day","Once a week","Every day","Every day",NA,NA,NA,38.78
26011002025,"Maharashtra",1,"Boy","14 years",4,2,"1 sibling","No","Primary","Primary","Labourer","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Daily","Once or twice in a month","Yes","Mathematics","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Neither","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Once a week","Every day","Once a week","Every day","Every day",NA,60,NA,NA
